timestamp_utc,pid,rss_kb,vsz_kb,pcpu,pmem,command
2026-03-15T20:37:01Z,94401,2512272,413364112,299.4,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:37:31Z,94401,2514064,413364112,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:38:01Z,94401,2539312,413388688,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:38:31Z,94401,2528032,413380496,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:39:02Z,94401,2531296,413380496,98.8,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:39:32Z,94401,2523392,413380496,99.9,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:40:02Z,94401,2540112,413388688,99.1,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:40:32Z,94401,2540112,413388688,99.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:41:02Z,94401,31711072,442704288,98.2,23.6,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:41:32Z,94401,56087856,488139168,100.0,41.8,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:42:02Z,94401,79647520,514865568,100.0,59.3,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:42:32Z,94401,71561504,536246688,25.6,53.3,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:43:02Z,94401,92508208,611080608,100.0,68.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:43:32Z,94401,27182016,611080608,94.9,20.3,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:44:02Z,94401,26677136,611080608,59.4,19.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:44:32Z,94401,26728480,611080608,58.3,19.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:45:02Z,94401,28992784,605819904,52.5,21.6,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:45:32Z,94401,33293408,605818784,63.9,24.8,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:46:02Z,94401,36555904,605818784,66.7,27.2,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:46:33Z,94401,36350752,605818784,72.4,27.1,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:47:03Z,94401,36145984,605818784,61.2,26.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:47:33Z,94401,35453808,648581024,0.4,26.4,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:48:03Z,94401,35407328,648581024,0.1,26.4,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:48:33Z,94401,35295584,648581024,0.1,26.3,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:49:03Z,94401,34986240,648581024,0.1,26.1,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:49:33Z,NA,NA,NA,NA,NA,NA
