event_id,time_utc,mag,status,place,lon,lat,depth_km
usc000mtjk,2014-02-19T16:44:56.980Z,3.1,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.466,35.777,6.1
usc000mvhh,2014-02-21T14:26:12Z,3.2,reviewed,"3 km ESE of Wakita, Oklahoma",-97.8886,36.8695,5
usc000mvig,2014-02-21T15:19:11Z,2.8,reviewed,"3 km WSW of Alva, Oklahoma",-98.7003,36.7898,5
usc000mvy2,2014-02-21T21:38:49.650Z,3.1,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.4745,35.781,5.17
usc000mw9g,2014-02-22T08:21:42.650Z,2.5,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.468,35.782,6.1
usc000mwdk,2014-02-22T14:06:51.950Z,2.7,reviewed,"8 km NE of Stillwater, Oklahoma",-96.99,36.17,4.7
usc000mwus,2014-02-23T03:11:38.800Z,3,reviewed,"2 km SW of Stillwater, Oklahoma",-97.081,36.103,5
usc000mwvn,2014-02-23T04:44:35.800Z,3.2,reviewed,"7 km SW of Glencoe, Oklahoma",-96.981,36.175,5
usc000mwxc,2014-02-23T07:10:51.800Z,2.7,reviewed,"11 km E of Red Rock, Oklahoma",-97.0546,36.4668,5
usc000mwxf,2014-02-23T07:23:32.700Z,3,reviewed,"7 km ESE of Mulhall, Oklahoma",-97.3362,36.0353,5
usc000mwy5,2014-02-23T09:15:41.110Z,3.3,reviewed,"6 km ESE of Mulhall, Oklahoma",-97.341,36.036,5
usc000mx1h,2014-02-23T14:30:54.970Z,2.5,reviewed,"6 km ESE of Mulhall, Oklahoma",-97.336,36.043,5
usc000mx1v,2014-02-23T20:11:05.230Z,2.6,reviewed,"7 km E of Jefferson, Oklahoma",-97.702,36.717,5
usc000mx4n,2014-02-24T00:11:32.520Z,3.1,reviewed,"7 km SW of Glencoe, Oklahoma",-96.9786,36.171,5
usc000mx9a,2014-02-24T11:20:49.300Z,2.9,reviewed,"4 km W of Jones, Oklahoma",-97.342,35.565,4.2
usc000mx9e,2014-02-24T11:22:46Z,2.7,reviewed,"5 km W of Jones, Oklahoma",-97.348,35.568,5
usc000mxb1,2014-02-24T16:44:59.440Z,3.2,reviewed,"6 km SSE of Tryon, Oklahoma",-96.943,35.817,4.3
usc000mxly,2014-02-24T23:34:44.130Z,2.7,reviewed,"25 km N of Snyder, Texas",-100.8731,32.9448,3.19
usc000n4z3,2014-02-26T18:18:02Z,3,reviewed,"4 km NNE of Kremlin, Oklahoma",-97.8125,36.5865,5.172
usc000mylm,2014-02-26T19:30:33Z,3.4,reviewed,"9 km E of Pond Creek, Oklahoma",-97.693,36.675,5
usc000mym7,2014-02-26T19:44:37Z,3,reviewed,"5 km NNE of Kremlin, Oklahoma",-97.8097,36.5906,5
usc000myuy,2014-02-27T00:19:10Z,3.2,reviewed,"9 km E of Red Rock, Oklahoma",-97.0735,36.4476,0.001
usc000myyy,2014-02-27T10:14:01Z,3.4,reviewed,"8 km ESE of Marland, Oklahoma",-97.0616,36.5438,7.75
usb000mzbr,2014-03-02T04:21:46.100Z,3.5,reviewed,"6 km SSW of Warwick, Oklahoma",-97.041,35.636,4.4
usb000mzgh,2014-03-02T14:44:45.600Z,2.8,reviewed,"7 km ESE of Marland, Oklahoma",-97.0677,36.5418,5
usb000mzgp,2014-03-02T14:55:46.900Z,3,reviewed,"9 km ESE of Marland, Oklahoma",-97.0499,36.5442,3
usb000mzj9,2014-03-02T16:51:22.800Z,2.9,reviewed,"4 km SSW of Alva, Oklahoma",-98.6908,36.767,3
usc000p9ur,2014-03-02T21:11:06.780Z,2.7,reviewed,"6 km S of Ripley, Oklahoma",-96.9185,35.9557,2.28
usb000mzt9,2014-03-03T01:54:22.800Z,2.8,reviewed,"8 km SW of Glencoe, Oklahoma",-96.982,36.167,7.2
usb000n0hq,2014-03-03T02:54:04.800Z,2.8,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.471,35.7798,5
usc000pe4b,2014-03-03T07:33:53.680Z,2.8,reviewed,"11 km W of Morrison, Oklahoma",-97.132,36.291,5
usb000n0lf,2014-03-04T08:54:23.500Z,2.5,reviewed,"8 km NNE of Guthrie, Oklahoma",-97.396,35.954,3.762
usb000n0ww,2014-03-04T16:39:38.200Z,2.6,reviewed,"2 km ESE of Carney, Oklahoma",-96.9847,35.7987,4.677
usb000n1dg,2014-03-04T17:44:10.900Z,2.9,reviewed,"2 km ESE of Carney, Oklahoma",-96.9831,35.7979,4.546
usb000n1im,2014-03-05T14:17:06.390Z,3.3,reviewed,"7 km N of Spencer, Oklahoma",-97.383,35.593,6.4
usc000n3xf,2014-03-05T15:49:20.060Z,2.7,reviewed,"7 km N of Spencer, Oklahoma",-97.381,35.593,6.2
usc000n3zh,2014-03-06T09:35:23.800Z,2.6,reviewed,"8 km NE of Lake Aluma, Oklahoma",-97.3883,35.5954,6.172
usc000n40t,2014-03-06T11:43:14.400Z,2.6,reviewed,Oklahoma,-97.6872,36.8853,5
usc000n4ja,2014-03-06T18:44:19.300Z,2.5,reviewed,"10 km W of Morrison, Oklahoma",-97.126,36.287,5
usc000n4ms,2014-03-06T21:45:04.900Z,2.5,reviewed,"10 km W of Morrison, Oklahoma",-97.123,36.294,5
usc000n4wh,2014-03-07T16:20:10.700Z,2.9,reviewed,"6 km NNW of Lamont, Oklahoma",-97.5746,36.7506,3.052
usc000n58c,2014-03-07T22:33:55.900Z,2.5,reviewed,"3 km NE of Cherokee, Oklahoma",-98.332,36.777,5
usc000n59k,2014-03-08T01:29:04.480Z,3,reviewed,"6 km NNW of Meridian, Oklahoma",-97.284,35.889,4.7
usc000n59s,2014-03-08T01:34:12.920Z,3.1,reviewed,"6 km NNW of Meridian, Oklahoma",-97.281,35.89,5
usc000n5jn,2014-03-08T21:50:55Z,3.3,reviewed,"3 km ESE of Carney, Oklahoma",-96.976,35.796,5
usc000n5mx,2014-03-09T00:05:22.300Z,2.9,reviewed,"2 km E of Choctaw, Oklahoma",-97.242,35.495,6.228
usc000n5q0,2014-03-09T01:50:45.700Z,2.8,reviewed,"1 km ESE of Choctaw, Oklahoma",-97.252,35.492,7.4
usc000n5zh,2014-03-09T17:05:54Z,3,reviewed,"2 km ESE of Choctaw, Oklahoma",-97.2474,35.4919,7.29
usc000n63m,2014-03-09T21:40:25.640Z,2.8,reviewed,"6 km NNW of Meridian, Oklahoma",-97.2844,35.8891,4.32
usc000n6kk,2014-03-10T07:33:54.570Z,2.6,reviewed,"9 km E of Red Rock, Oklahoma",-97.076,36.449,5
usc000n6d7,2014-03-10T14:11:20.200Z,3.5,reviewed,"11 km S of Glencoe, Oklahoma",-96.9075,36.1251,4.334
usc000n7tb,2014-03-11T12:52:34.180Z,2.5,reviewed,"5 km WSW of Orlando, Oklahoma",-97.433,36.132,2.97
usc000n7mi,2014-03-11T12:55:27.710Z,3.4,reviewed,"6 km NNW of Meridian, Oklahoma",-97.282,35.89,4.89
usc000n7xy,2014-03-11T17:49:21.460Z,2.9,reviewed,"8 km NNE of Guthrie, Oklahoma",-97.4,35.952,3.7
usc000n8jp,2014-03-12T01:56:20.440Z,2.5,reviewed,"5 km NW of Meridian, Oklahoma",-97.285,35.8845,4.6
usc000n8k3,2014-03-12T02:28:41.280Z,2.5,reviewed,"1 km ESE of Choctaw, Oklahoma",-97.252,35.494,6.5
usc000n951,2014-03-12T02:36:17.050Z,2.7,reviewed,"8 km ESE of Marland, Oklahoma",-97.061,36.542,5
usc000n8sf,2014-03-12T08:28:47.690Z,2.8,reviewed,"4 km WNW of Freeport, Kansas",-97.9049,37.2108,10.21
usc000n8tq,2014-03-12T09:50:25.100Z,3.3,reviewed,"2 km W of Freeport, Kansas",-97.8858,37.1966,3.1
usc000n90u,2014-03-12T12:30:45.680Z,2.7,reviewed,"5 km N of Hunter, Oklahoma",-97.6624,36.6088,2.31
usc000n91j,2014-03-12T12:57:54.090Z,2.6,reviewed,"3 km WNW of Freeport, Kansas",-97.8908,37.2051,6.63
usc000n93u,2014-03-12T14:35:19.700Z,2.8,reviewed,"6 km E of Carney, Oklahoma",-96.9392,35.8125,4.267
usc000n999,2014-03-12T16:29:27Z,2.5,reviewed,"10 km W of Morrison, Oklahoma",-97.1196,36.2914,5
usc000n99t,2014-03-12T17:26:48.720Z,2.5,reviewed,"10 km W of Morrison, Oklahoma",-97.125,36.284,5
usc000n9fa,2014-03-12T18:00:04.570Z,2.9,reviewed,"1 km WSW of Freeport, Kansas",-97.8674,37.1945,5
usc000n9d2,2014-03-12T18:09:38.570Z,2.5,reviewed,"7 km N of Hunter, Oklahoma",-97.678,36.634,5
usc000n9ha,2014-03-12T19:35:26.460Z,3.2,reviewed,"2 km SSW of Freeport, Kansas",-97.8728,37.1783,5
usc000n9v7,2014-03-13T00:16:54.200Z,2.7,reviewed,"2 km NNW of Freeport, Kansas",-97.8679,37.2231,5
usc000napx,2014-03-13T02:42:03.530Z,2.5,reviewed,"4 km WSW of Fallis, Oklahoma",-97.165,35.738,4.83
