event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
us10001pmq,2015-03-22T21:53:07.200Z,2.7,reviewed,"6 km SSW of Deer Creek, Oklahoma",-97.5526,36.7521,7.147,1313,0,-137325.765652395,1524102.63823245,1,38526787.2,424387.200000048
us10001qxe,2015-03-22T22:04:43.100Z,2.6,reviewed,"8 km NNE of Quinlan, Oklahoma",-98.9942,36.5207,5,1263,1,-265618.299936077,1501242.1680227,1,38527483.0999999,425083.099999905
us10001pn8,2015-03-22T22:45:22.900Z,3.4,reviewed,"6 km ENE of Covington, Oklahoma",-97.5171,36.3321,6.626,1227,1,-134937.159790115,1477008.48711929,1,38529922.9000001,427522.900000095
us10001qwr,2015-03-23T00:55:59.900Z,2.6,reviewed,"4 km SSE of Meridian, Oklahoma",-97.2315,35.8076,5.105,1099,1,-110297.439346885,1417908.26543001,1,38537759.9000001,435359.900000095
us10001qz5,2015-03-23T03:21:23.800Z,2.9,reviewed,"14 km NW of Pawnee, Oklahoma",-96.9352,36.4189,5.408,1273,0,-83087.0770832241,1486062.81979866,1,38546483.8,444083.799999952
us10001qz6,2015-03-23T04:08:13.600Z,2.6,reviewed,"8 km NNE of Quinlan, Oklahoma",-99.0004,36.5224,5,1263,1,-266162.113718844,1501449.85639286,1,38549293.5999999,446893.599999905
us10001r05,2015-03-23T06:18:08.900Z,2.8,reviewed,"2 km NE of Renfrow, Oklahoma",-97.6337,36.9426,5.59,1399,0,-144131.382861121,1545563.53769042,1,38557088.9000001,454688.900000095
us10001prk,2015-03-23T07:24:26.700Z,3.6,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0303,36.782,6.601,1354,1,-179500.572163321,1528248.23567794,1,38561066.7,458666.700000048
us10001prn,2015-03-23T07:36:32.800Z,2.9,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0267,36.7819,6.331,1354,1,-179182.580273407,1528230.24076962,1,38561792.8,459392.799999952
us10001pu3,2015-03-23T11:00:34.400Z,2.7,reviewed,"4 km ESE of Nescatunga, Oklahoma",-98.1079,36.737,5.686,1310,1,-186471.967957914,1523357.22726228,1,38574034.4000001,471634.400000095
us10001pvc,2015-03-23T16:18:19.400Z,3.3,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0238,36.7831,6.811,1354,1,-178923.364268982,1528359.19115593,1,38593099.4000001,490699.400000095
us10001pwn,2015-03-23T16:23:42.500Z,3.3,reviewed,"12 km ENE of Nescatunga, Oklahoma",-98.0207,36.782,5.76,1354,1,-178651.956111611,1528230.14587212,1,38593422.5,491022.5
us10001pwg,2015-03-23T17:17:30.600Z,3.6,reviewed,"2 km SE of Carney, Oklahoma",-96.9873,35.7913,5.275,1100,1,-88445.879036005,1415827.99695207,1,38596650.5999999,494250.599999905
us10001r89,2015-03-23T18:37:01.900Z,2.8,reviewed,"2 km SE of Carney, Oklahoma",-96.9891,35.7924,5.707,1100,1,-88605.8418455744,1415952.82871004,1,38601421.9000001,499021.900000095
us10001r8t,2015-03-23T19:02:41.800Z,2.8,reviewed,"7 km NNW of Red Rock, Oklahoma",-97.2271,36.5198,6.888,1271,1,-108873.484446599,1497659.51515262,1,38602961.8,500561.799999952
us10001pyf,2015-03-23T19:10:46.700Z,2.8,reviewed,"7 km NNW of Red Rock, Oklahoma",-97.2282,36.5189,8.047,1271,1,-108972.378591941,1497559.9652453,1,38603446.7000001,501046.700000048
us10001pze,2015-03-23T20:16:15.300Z,3.6,reviewed,"6 km ESE of Marshall, Oklahoma",-97.5663,36.1222,4.214,1184,1,-139700.269122433,1453573.73743149,1,38607375.3,504975.299999952
us10001q0l,2015-03-23T21:41:29Z,3,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0248,36.7829,7.012,1354,1,-179012.237884606,1528338.67197484,1,38612489,510089
us10001ra4,2015-03-23T23:07:26.700Z,2.6,reviewed,"6 km ESE of Marshall, Oklahoma",-97.5683,36.126,3.083,1184,1,-139871.612696923,1454002.19410019,1,38617646.7000001,515246.700000048
us10001q2d,2015-03-23T23:29:54.500Z,3.9,reviewed,"7 km N of Hunter, Oklahoma",-97.6539,36.6336,2.588,1312,1,-146515.79488746,1510980.00235591,1,38618994.5,516594.5
us10001qax,2015-03-23T23:34:07.600Z,2.7,reviewed,"6 km N of Hunter, Oklahoma",-97.6731,36.6237,5.408,1312,1,-148236.035743072,1509900.86822779,1,38619247.5999999,516847.599999905
us10001q2s,2015-03-23T23:50:07.300Z,2.9,reviewed,"10 km NW of Morrison, Oklahoma",-97.0982,36.3563,5.958,1229,1,-97649.1098709298,1479206.24748473,1,38620207.3,517807.299999952
us10001q34,2015-03-24T00:27:27.900Z,3.7,reviewed,"11 km NW of Morrison, Oklahoma",-97.1119,36.3561,0.835,1229,1,-98867.4853714163,1479198.01191144,1,38622447.9000001,520047.900000095
us10001qc0,2015-03-24T07:17:16.100Z,2.6,reviewed,"9 km NW of Morrison, Oklahoma",-97.086,36.3535,5.889,1229,1,-96567.9487747899,1478880.17377175,1,38647036.0999999,544636.099999905
