cell_id,Z,area_km2,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat
1018,0,400,-15037.0493477536,1374132.63836556,-96.1670426800245,35.4228334300836
1019,0,400,4962.95065224637,1374132.63836556,-95.9448678181874,35.4229386377922
1020,0,400,24962.9506522464,1374132.63836556,-95.7226935590105,35.4226261104268
1021,0,400,44962.9506522464,1374132.63836556,-95.5005223310799,35.4218958527628
1022,0,400,64962.9506522464,1374132.63836556,-95.2783565627833,35.4207478759577
1023,0,400,84962.9506522464,1374132.63836556,-95.0561986821503,35.4191821975496
1024,0,400,104962.950652246,1374132.63836556,-94.8340511166931,35.4171988414555
1025,0,400,124962.950652246,1374132.63836556,-94.6119162932478,35.4147978379675
1026,0,400,144962.950652246,1374132.63836556,-94.389796637815,35.4119792237495
1027,0,400,164962.950652246,1374132.63836556,-94.1676945754011,35.4087430418316
1028,0,400,184962.950652246,1374132.63836556,-93.9456125298599,35.4050893416061
1029,0,400,204962.950652246,1374132.63836556,-93.7235529237335,35.4010181788193
1030,0,400,224962.950652246,1374132.63836556,-93.5015181780946,35.3965296155656
1031,0,400,244962.950652246,1374132.63836556,-93.2795107123881,35.391623720279
1032,0,291.522189772267,262251.048037513,1374131.15073374,-93.0876307264716,35.3870335267075
1033,0,45.4148112636261,-566918.599199371,1398767.1164317,-102.306670986674,35.4749148379099
1034,0,396.856893546748,-554961.869408008,1394200.93991213,-102.170742731457,35.4412166159124
1035,0,400,-535037.049347754,1394132.63836556,-101.949736002555,35.4519514244056
1036,0,400,-515037.049347754,1394132.63836556,-101.727880013036,35.4629223780384
1037,0,400,-495037.049347754,1394132.63836556,-101.505961497113,35.4734768070643
1038,0,400,-475037.049347754,1394132.63836556,-101.283982849595,35.483614550739
1039,0,400,-455037.049347754,1394132.63836556,-101.061946469213,35.4933354545191
1040,0,400,-435037.049347754,1394132.63836556,-100.839854758467,35.5026393700822
1041,0,400,-415037.049347754,1394132.63836556,-100.617710123472,35.511526155345
1042,0,400,-395037.049347754,1394132.63836556,-100.395514973803,35.5199956744824
1043,0,400,-375037.049347754,1394132.63836556,-100.173271722341,35.5280477979447
1044,0,400,-355037.049347754,1394132.63836556,-99.9509827851164,35.5356824024739
1045,0,400,-335037.049347754,1394132.63836556,-99.7286505811512,35.54289937112
1046,0,400,-315037.049347754,1394132.63836556,-99.5062775323048,35.549698593256
1047,0,400,-295037.049347754,1394132.63836556,-99.2838660631153,35.5560799645917
1048,0,400,-275037.049347754,1394132.63836556,-99.0614186006422,35.5620433871879
1049,0,400,-255037.049347754,1394132.63836556,-98.8389375743081,35.5675887694683
1050,0,400,-235037.049347754,1394132.63836556,-98.6164254157405,35.5727160262316
1051,0,400,-215037.049347754,1394132.63836556,-98.3938845586128,35.5774250786629
1052,0,400,-195037.049347754,1394132.63836556,-98.1713174384852,35.5817158543429
1053,0,400,-175037.049347754,1394132.63836556,-97.9487264926452,35.5855882872585
1054,0,400,-155037.049347754,1394132.63836556,-97.7261141599476,35.5890423178102
1055,0,400,-135037.049347754,1394132.63836556,-97.503482880655,35.5920778928206
1056,1,400,-115037.049347754,1394132.63836556,-97.280835096277,35.5946949655407
1057,1,400,-95037.0493477536,1394132.63836556,-97.05817324941,35.5968934956565
1058,1,400,-75037.0493477536,1394132.63836556,-96.8354997835766,35.5986734492937
1059,0,400,-55037.0493477537,1394132.63836556,-96.6128171430647,35.6000347990226
1060,0,400,-35037.0493477536,1394132.63836556,-96.3901277727665,35.600977523861
1061,0,400,-15037.0493477536,1394132.63836556,-96.1674341180179,35.6015016092777
1062,0,400,4962.95065224637,1394132.63836556,-95.9447386244367,35.6016070471937
1063,0,400,24962.9506522464,1394132.63836556,-95.7220437377622,35.6012938359836
1064,0,400,44962.9506522464,1394132.63836556,-95.4993519036935,35.6005619804757
1065,0,400,64962.9506522464,1394132.63836556,-95.2766655677288,35.5994114919514
1066,0,400,84962.9506522464,1394132.63836556,-95.0539871750037,35.5978423881438
1067,0,400,104962.950652246,1394132.63836556,-94.8313191701307,35.5958546932355
1068,0,400,124962.950652246,1394132.63836556,-94.608663997038,35.5934484378549
1069,0,400,144962.950652246,1394132.63836556,-94.3860240988086,35.5906236590731
1070,0,400,164962.950652246,1394132.63836556,-94.1634019175197,35.5873804003984
1071,0,400,184962.950652246,1394132.63836556,-93.9407998940819,35.5837187117708
1072,0,400,204962.950652246,1394132.63836556,-93.7182204680792,35.5796386495561
1073,0,400,224962.950652246,1394132.63836556,-93.4956660776086,35.5751402765377
1074,0,400,244962.950652246,1394132.63836556,-93.2731391591203,35.5702236619094
1075,0,277.454749273194,261904.882390889,1393971.85026873,-93.0847155528397,35.5642960190002
1076,0,169.690836583688,-569437.685273245,1415246.59227227,-102.34683690354,35.6203053010526
1077,0,400,-555037.049347754,1414132.63836556,-102.185982202876,35.6188523666687
1078,0,400,-535037.049347754,1414132.63836556,-101.963674423603,35.6302645650724
1079,0,400,-515037.049347754,1414132.63836556,-101.741301271084,35.6412595091661
1080,0,400,-495037.049347754,1414132.63836556,-101.518865152681,35.6518370301776
1081,0,400,-475037.049347754,1414132.63836556,-101.296368479879,35.6619969655832
1082,0,400,-455037.049347754,1414132.63836556,-101.073813668128,35.6717391591279
1083,0,400,-435037.049347754,1414132.63836556,-100.851203136696,35.6810634608454
1084,0,400,-415037.049347754,1414132.63836556,-100.628539308505,35.6899697270783
1085,0,400,-395037.049347754,1414132.63836556,-100.40582460998,35.6984578204954
