event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
usc000mlxh,2014-02-10T05:18:17.920Z,2.8,reviewed,"3 km NE of Wakita, Oklahoma",-97.8944,36.9067,4.71,1354,1,-167208.694257424,1541968.84821312,0,3475097.92000008,-34627302.0799999
usc000mmn2,2014-02-10T23:37:39Z,3.5,reviewed,"6 km SSE of Tryon, Oklahoma",-96.9324,35.8162,5,1101,0,-83500.5492861854,1418566.14723744,0,3541059,-34561341
usc000mmsb,2014-02-11T03:19:54.040Z,3,reviewed,"6 km N of Medford, Oklahoma",-97.7345,36.8657,5,1355,1,-153180.642804937,1537106.37756142,0,3554394.03999996,-34548005.96
usc000mmvl,2014-02-11T08:49:21.400Z,3,reviewed,"7 km ESE of Orlando, Oklahoma",-97.2952,36.1265,7.78,1185,1,-115515.609543246,1453691.22675765,0,3574161.4000001,-34528238.5999999
usc000mn7q,2014-02-11T16:41:42.280Z,2.5,reviewed,"9 km E of Manchester, Oklahoma",-97.929,36.993,10.6,1397,0,-170065.976158108,1551697.89953616,0,3602502.27999997,-34499897.72
usc000mp06,2014-02-12T12:41:37Z,3.4,reviewed,"9 km E of Manchester, Oklahoma",-97.9271,36.9963,10.42,1397,0,-169890.992311582,1552064.18594899,0,3674497,-34427903
usc000ni0l,2014-02-12T22:51:33Z,2.5,reviewed,"3 km NNE of Medford, Oklahoma",-97.7237,36.8372,5,1355,1,-152284.870687702,1533896.37400956,0,3711093,-34391307
usc000mqbw,2014-02-13T21:26:13.830Z,2.5,reviewed,"3 km NNE of Morrison, Oklahoma",-96.993,36.325,5,1229,1,-88331.9880448396,1475597.63905176,0,3792373.82999992,-34310026.1700001
usc000mtf8,2014-02-14T05:55:56.160Z,2.7,reviewed,"8 km NNW of Morrison, Oklahoma",-97.055,36.367,5,1229,1,-93794.7335192283,1480361.16962776,0,3822956.16000009,-34279443.8399999
usc000mr2m,2014-02-14T17:43:06.300Z,2.9,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.4765,35.7801,3.621,1098,1,-132286.711775734,1415142.22556073,0,3865386.29999995,-34237013.7
usc000n2z8,2014-02-14T17:51:28.800Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4752,35.7752,5,1098,1,-132178.763836565,1414591.85975715,0,3865888.79999995,-34236511.2
usc000mr2p,2014-02-14T20:46:15.500Z,3,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4693,35.7756,5,1098,1,-131649.47027242,1414628.4501626,0,3876375.5,-34226024.5
usc000mr2r,2014-02-14T21:51:55.100Z,2.7,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.4717,35.7779,3.763,1098,1,-131860.505618141,1414889.26349599,0,3880315.0999999,-34222084.9000001
usc000mr2s,2014-02-14T23:05:52.100Z,2.9,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.477,35.775,3.7,1098,1,-132340.379900434,1414571.97481978,0,3884752.0999999,-34217647.9000001
usc000mr0g,2014-02-15T00:19:12.990Z,3.1,reviewed,"11 km SE of Cedar Valley, Oklahoma",-97.4807,35.7818,5,1098,1,-132660.013969045,1415338.39631579,0,3889152.99000001,-34213247.01
usc000napw,2014-02-15T18:05:07.200Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.473,35.7762,5,1098,1,-131979.923024975,1414700.75239981,0,3953107.20000005,-34149292.8
usc000mt94,2014-02-15T23:20:46.200Z,3.1,reviewed,"4 km NE of Milan, Kansas",-97.6446,37.2918,5,1485,0,-144415.805851389,1584703.69812776,0,3972046.20000005,-34130353.8
usc000mrdm,2014-02-16T01:51:47.800Z,3.3,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.477,35.781,5,1098,1,-132329.93950301,1415243.67724949,0,3981107.79999995,-34121292.2
usc000mt9c,2014-02-16T08:39:56.660Z,2.6,reviewed,"11 km SE of Cedar Valley, Oklahoma",-97.479,35.78,5,1098,1,-132510.854931891,1415134.5134647,0,4005596.66000009,-34096803.3399999
usc000mt9i,2014-02-16T11:20:54.580Z,2.6,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.476,35.778,5,1098,1,-132245.569650327,1414906.43359116,0,4015254.57999992,-34087145.4200001
usc000mrse,2014-02-17T04:54:59Z,3.8,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.469,35.776,7.4,1098,1,-131621.900119107,1414672.81475732,0,4078499,-34023901
usc000nszq,2014-02-17T05:02:11.780Z,3.2,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.466,35.777,5.39,1098,1,-131351.39537789,1414780.61444307,0,4078931.77999997,-34023468.22
usc000mrtq,2014-02-17T05:31:06.300Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.464,35.771,5.028,1098,1,-131182.561050443,1414106.15028418,0,4080666.29999995,-34021733.7
usc000mru0,2014-02-17T05:37:13.180Z,2.9,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.478,35.776,5,1098,1,-132428.232236632,1414685.3180256,0,4081033.18000007,-34021366.8199999
usc000mt9x,2014-02-17T07:40:49.910Z,2.6,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.466,35.773,5,1098,1,-131358.30379374,1414332.81308719,0,4088449.91000009,-34013950.0899999
usc000mrx5,2014-02-17T08:24:21.910Z,2.7,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.46,35.77,4.55,1098,1,-130825.887019975,1413988.68623278,0,4091061.91000009,-34011338.0899999
usc000mrza,2014-02-17T12:57:39Z,3.1,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.463,35.772,5,1098,1,-131091.23899203,1414216.72045092,0,4107459,-33994941
usc000ms02,2014-02-17T14:19:13.770Z,3,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.475,35.775,4.4,1098,1,-132161.192702497,1414569.19156537,0,4112353.76999998,-33990046.23
usc000msxx,2014-02-17T14:37:30.460Z,2.7,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.473,35.778,5,1098,1,-131976.799389678,1414902.2631165,0,4113450.46000004,-33988949.54
usc000msfq,2014-02-18T02:44:11.270Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4617,35.7713,5,1098,1,-130975.967884216,1414136.56291093,0,4157051.26999998,-33945348.73
usc000mta4,2014-02-18T03:11:19.340Z,2.6,reviewed,Oklahoma,-97.4735,35.7752,4.83,1098,1,-132026.455077789,1414589.49664156,0,4158679.33999991,-33943720.6600001
usc000mta9,2014-02-18T03:59:08.610Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4628,35.7716,4.72,1098,1,-131074.008859208,1414171.6645397,0,4161548.6099999,-33940851.3900001
usc000msib,2014-02-18T07:15:32.900Z,2.7,reviewed,"8 km E of Marland, Oklahoma",-97.062,36.5526,5,1272,1,-94184.7137395787,1501157.19660402,0,4173332.9000001,-33929067.0999999
usc000msmc,2014-02-18T11:53:51.140Z,3.4,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.467,35.777,5.03,1098,1,-131440.9867595,1414781.99707768,0,4190031.14000011,-33912368.8599999
usc000msmq,2014-02-18T12:16:44.020Z,3.2,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.459,35.77,5.14,1098,1,-130736.287290678,1413987.31007069,0,4191404.01999998,-33910995.98
usc000msne,2014-02-18T12:29:49.700Z,2.7,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.469,35.776,5,1098,1,-131621.900119107,1414672.81475732,0,4192189.70000005,-33910210.3
usc000msxf,2014-02-18T14:22:01.540Z,2.7,reviewed,"7 km E of Jefferson, Oklahoma",-97.71,36.718,5,1312,1,-151314.928598722,1520521.85204871,0,4198921.53999996,-33903478.46
usc000msxs,2014-02-18T15:17:18.850Z,2.8,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.454,35.771,4.8,1098,1,-130286.575465583,1414092.3935583,0,4202238.8499999,-33900161.1500001
usc000mt87,2014-02-19T03:04:55.250Z,2.9,reviewed,"5 km E of Orlando, Oklahoma",-97.3148,36.1388,0.99,1185,1,-117244.515620513,1455092.61940334,0,4244695.25,-33857704.75
usc000mtjk,2014-02-19T16:44:56.980Z,3.1,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.466,35.777,6.1,1098,1,-131351.39537789,1414780.61444307,0,4293896.98000002,-33808503.02
usc000mvhh,2014-02-21T14:26:12Z,3.2,reviewed,"3 km ESE of Wakita, Oklahoma",-97.8886,36.8695,5,1354,1,-166779.651944126,1537791.47438988,0,4458372,-33644028
usc000mvig,2014-02-21T15:19:11Z,2.8,reviewed,"3 km WSW of Alva, Oklahoma",-98.7003,36.7898,5,1351,0,-238697.057611302,1530596.05119135,0,4461551,-33640849
usc000mvy2,2014-02-21T21:38:49.650Z,3.1,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.4745,35.781,5.17,1098,1,-132105.973166648,1415240.19904513,0,4484329.6500001,-33618070.3499999
usc000mw9g,2014-02-22T08:21:42.650Z,2.5,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.468,35.782,6.1,1098,1,-131521.930795728,1415343.13416744,0,4522902.6500001,-33579497.3499999
usc000mwdk,2014-02-22T14:06:51.950Z,2.7,reviewed,"8 km NE of Stillwater, Oklahoma",-96.99,36.17,4.7,1186,1,-88245.9802250486,1458235.45863128,0,4543611.95000005,-33558788.05
usc000mwus,2014-02-23T03:11:38.800Z,3,reviewed,"2 km SW of Stillwater, Oklahoma",-97.081,36.103,5,1186,1,-96442.4954999692,1450820.74523675,0,4590698.79999995,-33511701.2000001
usc000mwvn,2014-02-23T04:44:35.800Z,3.2,reviewed,"7 km SW of Glencoe, Oklahoma",-96.981,36.175,5,1186,1,-87437.9922306554,1458787.09235837,0,4596275.79999995,-33506124.2
usc000mwxc,2014-02-23T07:10:51.800Z,2.7,reviewed,"11 km E of Red Rock, Oklahoma",-97.0546,36.4668,5,1272,1,-93635.1199105066,1491539.11520573,0,4605051.79999995,-33497348.2
usc000mwxf,2014-02-23T07:23:32.700Z,3,reviewed,"7 km ESE of Mulhall, Oklahoma",-97.3362,36.0353,5,1142,1,-119315.658205144,1443529.42796771,0,4605812.70000005,-33496587.3
usc000mwy5,2014-02-23T09:15:41.110Z,3.3,reviewed,"6 km ESE of Mulhall, Oklahoma",-97.341,36.036,5,1142,1,-119743.138541025,1443613.84751477,0,4612541.1099999,-33489858.8900001
usc000mx1h,2014-02-23T14:30:54.970Z,2.5,reviewed,"6 km ESE of Mulhall, Oklahoma",-97.336,36.043,5,1185,1,-119285.678506272,1444391.38443643,0,4631454.97000003,-33470945.03
usc000mx1v,2014-02-23T20:11:05.230Z,2.6,reviewed,"7 km E of Jefferson, Oklahoma",-97.702,36.717,5,1312,1,-150609.104728344,1520397.12837174,0,4651865.23000002,-33450534.77
usc000mx4n,2014-02-24T00:11:32.520Z,3.1,reviewed,"7 km SW of Glencoe, Oklahoma",-96.9786,36.171,5,1186,1,-87228.6972614125,1458336.92422882,0,4666292.51999998,-33436107.48
usc000mx9a,2014-02-24T11:20:49.300Z,2.9,reviewed,"4 km W of Jones, Oklahoma",-97.342,35.565,4.2,1056,1,-120577.10426274,1390884.55312229,0,4706449.29999995,-33395950.7
usc000mx9e,2014-02-24T11:22:46Z,2.7,reviewed,"5 km W of Jones, Oklahoma",-97.348,35.568,5,1056,1,-121111.397579275,1391227.98242535,0,4706566,-33395834
usc000mxb1,2014-02-24T16:44:59.440Z,3.2,reviewed,"6 km SSE of Tryon, Oklahoma",-96.943,35.817,4.3,1101,0,-84448.9064354629,1418665.08328274,0,4725899.44000006,-33376500.5599999
usc000n4z3,2014-02-26T18:18:02Z,3,reviewed,"4 km NNE of Kremlin, Oklahoma",-97.8125,36.5865,5.172,1312,1,-160664.860645016,1505960.73057638,0,4904282,-33198118
usc000mylm,2014-02-26T19:30:33Z,3.4,reviewed,"9 km E of Pond Creek, Oklahoma",-97.693,36.675,5,1312,1,-149896.604509272,1515678.29306788,0,4908633,-33193767
usc000mym7,2014-02-26T19:44:37Z,3,reviewed,"5 km NNE of Kremlin, Oklahoma",-97.8097,36.5906,5,1312,1,-160407.945223275,1506415.22248953,0,4909477,-33192923
usc000myuy,2014-02-27T00:19:10Z,3.2,reviewed,"9 km E of Red Rock, Oklahoma",-97.0735,36.4476,0.001,1272,1,-95337.4239484393,1489407.31338155,0,4925950,-33176450
usc000myyy,2014-02-27T10:14:01Z,3.4,reviewed,"8 km ESE of Marland, Oklahoma",-97.0616,36.5438,7.75,1272,1,-94160.2527608617,1500171.05855273,0,4961641,-33140759
usb000mzbr,2014-03-02T04:21:46.100Z,3.5,reviewed,"6 km SSW of Warwick, Oklahoma",-97.041,35.636,4.4,1057,1,-93446.7859919193,1398493.2817441,0,5199706.0999999,-32902693.9000001
usb000mzgh,2014-03-02T14:44:45.600Z,2.8,reviewed,"7 km ESE of Marland, Oklahoma",-97.0677,36.5418,5,1272,1,-94703.7960915933,1499953.08853975,0,5237085.5999999,-32865314.4000001
usb000mzgp,2014-03-02T14:55:46.900Z,3,reviewed,"9 km ESE of Marland, Oklahoma",-97.0499,36.5442,3,1272,1,-93122.0506047665,1500204.3362975,0,5237746.9000001,-32864653.0999999
usb000mzj9,2014-03-02T16:51:22.800Z,2.9,reviewed,"4 km SSW of Alva, Oklahoma",-98.6908,36.767,3,1351,0,-237929.833462202,1528018.80920955,0,5244682.79999995,-32857717.2
usc000p9ur,2014-03-02T21:11:06.780Z,2.7,reviewed,"6 km S of Ripley, Oklahoma",-96.9185,35.9557,2.28,1144,1,-82104.8134755823,1434173.57273648,0,5260266.77999997,-32842133.22
usb000mzt9,2014-03-03T01:54:22.800Z,2.8,reviewed,"8 km SW of Glencoe, Oklahoma",-96.982,36.167,7.2,1186,1,-87536.3786667159,1457892.08917685,0,5277262.79999995,-32825137.2
usb000n0hq,2014-03-03T02:54:04.800Z,2.8,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.471,35.7798,5,1098,1,-131794.499743928,1415100.99858392,0,5280844.79999995,-32821555.2000001
usc000pe4b,2014-03-03T07:33:53.680Z,2.8,reviewed,"11 km W of Morrison, Oklahoma",-97.132,36.291,5,1229,1,-100741.499474354,1471927.9240795,0,5297633.68000007,-32804766.3199999
usb000n0lf,2014-03-04T08:54:23.500Z,2.5,reviewed,"8 km NNE of Guthrie, Oklahoma",-97.396,35.954,3.762,1142,1,-124788.840857142,1434502.99755039,0,5388863.5,-32713536.5
usb000n0ww,2014-03-04T16:39:38.200Z,2.6,reviewed,"2 km ESE of Carney, Oklahoma",-96.9847,35.7987,4.677,1100,1,-88204.3851221882,1416654.08008834,0,5416778.20000005,-32685621.8
usb000n1dg,2014-03-04T17:44:10.900Z,2.9,reviewed,"2 km ESE of Carney, Oklahoma",-96.9831,35.7979,4.546,1100,1,-88061.9970239783,1416563.02847928,0,5420650.9000001,-32681749.0999999
usb000n1im,2014-03-05T14:17:06.390Z,3.3,reviewed,"7 km N of Spencer, Oklahoma",-97.383,35.593,6.4,1056,1,-124215.035459742,1394071.51390775,0,5494626.3900001,-32607773.6099999
usc000n3xf,2014-03-05T15:49:20.060Z,2.7,reviewed,"7 km N of Spencer, Oklahoma",-97.381,35.593,6.2,1056,1,-124035.416825729,1394068.90165801,0,5500160.05999994,-32602239.9400001
usc000n3zh,2014-03-06T09:35:23.800Z,2.6,reviewed,"8 km NE of Lake Aluma, Oklahoma",-97.3883,35.5954,6.172,1056,1,-124687.09978278,1394347.09896255,0,5564123.79999995,-32538276.2
usc000n40t,2014-03-06T11:43:14.400Z,2.6,reviewed,Oklahoma,-97.6872,36.8853,5,1355,1,-148964.84950141,1539226.86340028,0,5571794.4000001,-32530605.5999999
usc000n4ja,2014-03-06T18:44:19.300Z,2.5,reviewed,"10 km W of Morrison, Oklahoma",-97.126,36.287,5,1229,1,-100212.867232694,1471473.59092427,0,5597059.29999995,-32505340.7
usc000n4ms,2014-03-06T21:45:04.900Z,2.5,reviewed,"10 km W of Morrison, Oklahoma",-97.123,36.294,5,1229,1,-99936.6179987393,1472254.41450625,0,5607904.9000001,-32494495.0999999
usc000n4wh,2014-03-07T16:20:10.700Z,2.9,reviewed,"6 km NNW of Lamont, Oklahoma",-97.5746,36.7506,3.052,1313,0,-139274.249015467,1523966.6238111,0,5674810.70000005,-32427589.3
usc000n58c,2014-03-07T22:33:55.900Z,2.5,reviewed,"3 km NE of Cherokee, Oklahoma",-98.332,36.777,5,1352,0,-206182.866354038,1528300.40782888,0,5697235.9000001,-32405164.0999999
usc000n59k,2014-03-08T01:29:04.480Z,3,reviewed,"6 km NNW of Meridian, Oklahoma",-97.284,35.889,4.7,1142,1,-114876.101299708,1427084.0300299,0,5707744.48000002,-32394655.52
usc000n59s,2014-03-08T01:34:12.920Z,3.1,reviewed,"6 km NNW of Meridian, Oklahoma",-97.281,35.89,5,1142,1,-114606.206166072,1427192.37133647,0,5708052.92000008,-32394347.0799999
usc000n5jn,2014-03-08T21:50:55Z,3.3,reviewed,"3 km ESE of Carney, Oklahoma",-96.976,35.796,5,1100,1,-87428.215849874,1416343.74962827,0,5781055,-32321345
